spend,channel,sat_curve_pts
0.0,facebook,0.0
20.04008016032064,facebook,6.59327275691174e-05
40.08016032064128,facebook,0.00028265902588633945
60.120240480961925,facebook,0.0006622945115159393
80.16032064128257,facebook,0.0012117576520304654
100.20040080160321,facebook,0.0019360448854887837
120.24048096192385,facebook,0.0028390871699100814
140.28056112224448,facebook,0.003924121285647518
160.32064128256513,facebook,0.005193885322463362
180.3607214428858,facebook,0.0066507335783359935
200.40080160320642,facebook,0.008296708946116636
220.44088176352705,facebook,0.010133590623410514
240.4809619238477,facebook,0.012162926461249187
260.52104208416836,facebook,0.014386055225333988
280.56112224448896,facebook,0.01680412194819768
300.6012024048096,facebook,0.019418088386754285
320.64128256513027,facebook,0.02222873991654569
340.6813627254509,facebook,0.025236689774420555
360.7214428857716,facebook,0.028442381293763936
380.7615230460922,facebook,0.031846088600149106
400.80160320641284,facebook,0.03544791611598647
420.8416833667335,facebook,0.03924779714006125
440.8817635270541,facebook,0.04324549170935203
460.92184368737475,facebook,0.04744058390837713
480.9619238476954,facebook,0.05183247876046257
501.00200400801606,facebook,0.056420398812412384
521.0420841683367,facebook,0.06120338050682094
541.0821643286573,facebook,0.06618027042313432
561.1222444889779,facebook,0.07134972145844522
581.1623246492986,facebook,0.0767101890111095
601.2024048096192,facebook,0.08225992722403476
621.2424849699399,facebook,0.08799698533949396
641.2825651302605,facebook,0.09391920421324898
661.3226452905811,facebook,0.10002421303239706
681.3627254509018,facebook,0.10630942627849405
701.4028056112224,facebook,0.11277204097502921
721.4428857715432,facebook,0.11940903425611518
741.4829659318638,facebook,0.12621716129122884
761.5230460921844,facebook,0.13319295359893243
781.5631262525051,facebook,0.14033271778065617
801.6032064128257,facebook,0.1476325347038026
821.6432865731463,facebook,0.15508825916159574
841.683366733467,facebook,0.16269552003522156
861.7234468937876,facebook,0.17044972098187228
881.7635270541082,facebook,0.17834604167029222
901.8036072144289,facebook,0.1863794395833201
921.8436873747495,facebook,0.19454465240472696
941.8837675350702,facebook,0.20283620100534305
961.9238476953908,facebook,0.21124839304106394
981.9639278557114,facebook,0.21977532717281587
1002.0040080160321,facebook,0.2284108979159483
1022.0440881763527,facebook,0.23714880112381595
1042.0841683366734,facebook,0.24598254010751827
1062.124248496994,facebook,0.25490543239088914
1082.1643286573146,facebook,0.2639106170968889
1102.2044088176353,facebook,0.2729910629585515
1122.2444889779558,facebook,0.28213957694460634
1142.2845691382765,facebook,0.2913488134868249
1162.3246492985973,facebook,0.3006112842930755
1182.364729458918,facebook,0.3099193687270057
1202.4048096192384,facebook,0.31926532473223684
1222.4448897795592,facebook,0.328641300275971
1242.4849699398799,facebook,0.3380393452839895
1262.5250501002004,facebook,0.3474514240361922
1282.565130260521,facebook,0.35686942798910454
1302.6052104208418,facebook,0.3662851889891779
1322.6452905811623,facebook,0.3756904928382712
1342.685370741483,facebook,0.3850770931704108
1362.7254509018037,facebook,0.3944367255968333
1382.7655310621242,facebook,0.4037611220744271
1402.805611222445,facebook,0.4130420254510059
1422.8456913827656,facebook,0.4222712041394119
1442.8857715430863,facebook,0.4314404668712534
1462.9258517034068,facebook,0.4405416774801396
1482.9659318637275,facebook,0.4495667696636154
